year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Top,Ale,胡嘉乐,Hu Jia-Le,China,China,2001-07-23,0,Ale
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Jungle,Croco,김동범,Kim Dong-beom,South Korea,Korea,2000-02-23,0,Croco
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Coach,Tabe,王柏勤,Wong Pak Kan,Hong Kong,China,1991-01-18,0,Tabe
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer,2024-07-05,Anyone's Legend,,Coach,QingSi,贺维,He Wei,China,China,,0,Qingsi
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Top,Ale,胡嘉乐,Hu Jia-Le,China,China,2001-07-23,0,Ale
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Jungle,Croco,김동범,Kim Dong-beom,South Korea,Korea,2000-02-23,0,Croco
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Coach,Tabe,王柏勤,Wong Pak Kan,Hong Kong,China,1991-01-18,0,Tabe
2024,Summer Placements,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Placements,2024-06-01,Anyone's Legend,,Coach,QingSi,贺维,He Wei,China,China,,0,Qingsi
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Top,Ale,胡嘉乐,Hu Jia-Le,China,China,2001-07-23,0,Ale
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Jungle,Croco,김동범,Kim Dong-beom,South Korea,Korea,2000-02-23,0,Croco
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Coach,Tabe,王柏勤,Wong Pak Kan,Hong Kong,China,1991-01-18,0,Tabe
2024,Summer,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2024 Summer Playoffs,2024-08-03,Anyone's Legend,,Coach,QingSi,贺维,He Wei,China,China,,0,Qingsi
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Top,Breathe,陈晨,Chen Chen,China,China,2001-02-19,0,Breathe
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Jungle,Tarzan,이승용,Lee Seung-yong,South Korea,Korea,1999-08-23,0,Tarzan (Lee Seung-yong)
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Coach,BigWei,傅千威,Fu Chien-Wei,Taiwan,Asia Pacific,,0,BigWei
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Coach,Teacherma,姜晨,Jiang Chen,China,China,1999-06-19,0,Teacherma
2026,Split 3,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 3,2026-07-22,Anyone's Legend,,Coach,Despa1r,周李鹏,Zhou Li-Peng,China,China,,0,Despa1r
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Top,Flandre,李炫君,Li Xuan-Jun,China,China,1998-08-28,0,Flandre
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Jungle,Tarzan,이승용,Lee Seung-yong,South Korea,Korea,1999-08-23,0,Tarzan (Lee Seung-yong)
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Coach,BigWei,傅千威,Fu Chien-Wei,Taiwan,Asia Pacific,,0,BigWei
2026,Split 2,LPL,Tencent LoL Pro League,中国,一级联赛,LPL 2026 Split 2,2026-04-04,Anyone's Legend,,Coach,Despa1r,周李鹏,Zhou Li-Peng,China,China,,0,Despa1r
