year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Top,Finn,,Finn Wiestål,Sweden,EMEA,1999-06-03,0,Finn
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Jungle,113,,Doğukan Balcı,Turkey,EMEA,2004-08-12,0,113
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Mid,Dajor,,Oliver Ryppa,Germany,EMEA,2003-04-18,0,Dajor
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Bot,Kobbe,,Kasper Kobberup,Denmark,EMEA,1996-09-21,0,Kobbe
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Support,JeongHoon,,,,,,,JeongHoon
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Coach,AoD,,Alin-Ciprian Baltat,Romania,EMEA,1993-01-26,0,AoD
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Groups,2023-02-11,Astralis,,Coach,Vandett0,,,Denmark,EMEA,1994-05-04,1,Vandett0
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Top,Finn,,Finn Wiestål,Sweden,EMEA,1999-06-03,0,Finn
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Jungle,113,,Doğukan Balcı,Turkey,EMEA,2004-08-12,0,113
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Mid,Dajor,,Oliver Ryppa,Germany,EMEA,2003-04-18,0,Dajor
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Bot,Kobbe,,Kasper Kobberup,Denmark,EMEA,1996-09-21,0,Kobbe
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Support,JeongHoon,,,,,,,JeongHoon
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Coach,AoD,,Alin-Ciprian Baltat,Romania,EMEA,1993-01-26,0,AoD
2023,Winter,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Winter Season,2023-01-21,Astralis,,Coach,Vandett0,,,Denmark,EMEA,1994-05-04,1,Vandett0
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Top,Finn,,Finn Wiestål,Sweden,EMEA,1999-06-03,0,Finn
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Jungle,113,,Doğukan Balcı,Turkey,EMEA,2004-08-12,0,113
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Mid,LIDER,,Adam Ilyasov,Russia,EMEA,1999-07-03,0,LIDER
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Bot,Kobbe,,Kasper Kobberup,Denmark,EMEA,1996-09-21,0,Kobbe
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Support,JeongHoon,,,,,,,JeongHoon
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Season,2023-03-11,Astralis,,Coach,AoD,,Alin-Ciprian Baltat,Romania,EMEA,1993-01-26,0,AoD
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Top,Finn,,Finn Wiestål,Sweden,EMEA,1999-06-03,0,Finn
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Jungle,113,,Doğukan Balcı,Turkey,EMEA,2004-08-12,0,113
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Mid,LIDER,,Adam Ilyasov,Russia,EMEA,1999-07-03,0,LIDER
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Bot,Kobbe,,Kasper Kobberup,Denmark,EMEA,1996-09-21,0,Kobbe
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Support,JeongHoon,,,,,,,JeongHoon
2023,Spring,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Spring Groups,2023-04-08,Astralis,,Coach,AoD,,Alin-Ciprian Baltat,Romania,EMEA,1993-01-26,0,AoD
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Top,Finn,,Finn Wiestål,Sweden,EMEA,1999-06-03,0,Finn
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Jungle,113,,Doğukan Balcı,Turkey,EMEA,2004-08-12,0,113
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Mid,LIDER,,Adam Ilyasov,Russia,EMEA,1999-07-03,0,LIDER
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Bot,Kobbe,,Kasper Kobberup,Denmark,EMEA,1996-09-21,0,Kobbe
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Support,JeongHoon,,,,,,,JeongHoon
2023,Summer,LEC,LoL EMEA Championship,欧洲,一级联赛,LEC 2023 Summer Season,2023-06-17,Astralis,,Coach,AoD,,Alin-Ciprian Baltat,Romania,EMEA,1993-01-26,0,AoD
