year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Top,Flandre,李炫君,Li Xuan-Jun,China,China,1998-08-28,0,Flandre
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Jungle,Tarzan,이승용,Lee Seung-yong,South Korea,Korea,1999-08-23,0,Tarzan (Lee Seung-yong)
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Mid,Shanks,崔校军,Cui Xiao-Jun,China,China,2001-05-13,0,Shanks
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Bot,Hope,王杰,Wang Jie,China,China,2000-09-29,0,Hope (Wang Jie)
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Support,Kael,김진홍,Kim Jin-hong,South Korea,Korea,2004-02-11,0,Kael (Kim Jin-hong)
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Coach,Tabe,王柏勤,Wong Pak Kan,Hong Kong,China,1991-01-18,0,Tabe
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Anyone's Legend,,Coach,Xiaobai,杨忠贺,Yang Zhong-He,China,China,1999-02-15,0,Xiaobai
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Top,Bin,陈泽彬,Chen Ze-Bin,China,China,2003-09-28,0,Bin (Chen Ze-Bin)
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Jungle,Beichuan,杨陵,Yang Ling,China,China,2001-07-21,0,Beichuan
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Mid,Knight,卓定,Zhuo Ding,China,China,2000-05-22,0,Knight (Zhuo Ding)
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Bot,Elk,赵嘉豪,Zhao Jia-Hao,China,China,2001-09-29,0,Elk
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Support,ON,骆文俊,Luo Wen-Jun,China,China,2003-05-12,0,ON
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Coach,BigWei,傅千威,Fu Chien-Wei,Taiwan,Asia Pacific,,0,BigWei
2025,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2025,2025-06-27,Bilibili Gaming,,Coach,Easyhoon,이지훈,Lee Ji-hoon,South Korea,Korea,1992-11-23,0,Easyhoon
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Top,Bin,陈泽彬,Chen Ze-Bin,China,China,2003-09-28,0,Bin (Chen Ze-Bin)
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Jungle,Xun,彭立勋,Peng Li-Xun,China,China,2002-02-05,0,Xun
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Mid,Knight,卓定,Zhuo Ding,China,China,2000-05-22,0,knight (Zhuo Ding)
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Bot,Elk,赵嘉豪,Zhao Jia-Hao,China,China,2001-09-29,0,Elk
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Support,ON,骆文俊,Luo Wen-Jun,China,China,2003-05-12,0,ON
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Coach,BigWei,傅千威,Fu Chien-Wei,Taiwan,Asia Pacific,,0,BigWei
2024,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2024,2024-05-01,Bilibili Gaming,,Coach,Xiasu,陈龙,Chen Long,China,China,,0,Xiasu
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Top,Bin,陈泽彬,Chen Ze-Bin,China,China,2003-09-28,0,Bin (Chen Ze-Bin)
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Jungle,Xun,彭立勋,Peng Li-Xun,China,China,2002-02-05,0,Xun
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Mid,Knight,卓定,Zhuo Ding,China,China,2000-05-22,0,Knight (Zhuo Ding)
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Bot,Viper,박도현,Park Do-hyeon,South Korea,Korea,2000-10-19,0,Viper (Park Do-hyeon)
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Support,ON,骆文俊,Luo Wen-Jun,China,China,2003-05-12,0,ON
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Coach,Daeny,양대인,Yang Dae-in,South Korea,Korea,1993-02-10,0,Daeny
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Coach,Chieh,李杰,Li Chieh,Taiwan,Asia Pacific,1992-09-16,0,Chieh
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Coach,Ben,남동현,Nam Dong-hyun,South Korea,Korea,1995-04-24,0,Ben
2026,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2026,2026-06-28,Bilibili Gaming,,Coach,zyb,庄一彬,Zhuang Yi-Bin,China,China,,0,zyb
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Top,Bin,陈泽彬,Chen Ze-Bin,China,China,2003-09-28,0,Bin (Chen Ze-Bin)
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Jungle,Xun,彭立勋,Peng Li-Xun,China,China,2002-02-05,0,XUN
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Mid,Yagao,曾奇,Zeng Qi,China,China,1998-10-19,1,Yagao
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Bot,Elk,赵嘉豪,Zhao Jia-Hao,China,China,2001-09-29,0,Elk
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Support,ON,骆文俊,Luo Wen-Jun,China,China,2003-05-12,0,ON
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Coach,Tabe,王柏勤,Wong Pak Kan,Hong Kong,China,1991-01-18,0,Tabe
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Bilibili Gaming,,Coach,BigWei,傅千威,Fu Chien-Wei,Taiwan,Asia Pacific,,0,BigWei
2023,,MSI,Mid-Season Invitational,国际,国际赛事,MSI 2023,2023-05-02,Cloud9,,Top,Fudge,إبراهيم اللامي,Ibrahim Allami,Australia,North America,2002-05-23,0,Fudge
